Espécie	Nome Popular	Sinonímia	Família	Bioma	Formação Vegetal	Fitofisionomias	Presença nos estados	Período de coleta de sementes	Beneficiamento de sementes	Porcentagem de germinação	Substrato da muda	Desenvolvimento da muda no viveiro	Número de sementes/kg	Armazenamento	Semeadura	Nível de sombreamento da muda no viveiro	Tolerância a Sombra	Estratégia ecológica de ocupação	Desenvolvimento da muda no campo	Recomendação de adubação no plantio no campo	Porte da planta	Período de floração	Período de frutificação	Uso Econômico	Caducifolia	Polinização	Dispersão
Aristida gibbosa(Nees) Kunth	Capim-rabo-de-burro	Aristida orizabensis E. Fourn, Aristida marginalis Ekman, Aristida sorzogonensis J. Presl, Chaetaria gibbosa Nees	Poaceae	Cerrado	Campestre	Campo Limpo, Campo Rupestre	AM, BA, DF, GO, MA, MG, MT, PA, RJ, RR	Cerrado - mai-jun	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	50 a 80% (boa)	"




																
								[Saiba mais]
								
								



"		830000								Erva	Cerrado - abr-jun	Cerrado - mai-jun	Forrageiro	NÃO	Vento	Epizoocoria
Aristida recurvata(Nees) Kunth	Capim-recurvado	Aristida neesiana Trin. & Rupr., Aristida riedeliana Trin. & Rupr., Chaetaria recurvata (Kunth) Roem. & Schult.	Poaceae	Cerrado	Campestre	Campo Limpo, Campo Rupestre, Campo Sujo	BA, DF, GO, MG, MS, MT, PR, RJ, RR, SP	Cerrado - abr-jul	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	20 a 49% (regular)	"




																
								[Saiba mais]
								
								



"		1835000		Indireta em sementeira						Erva	Cerrado - mar-out	Cerrado - abr-jul		NÃO	Vento	Epizoocoria
Aristida ripariaTrin.	Rabo-de-raposa.		Poaceae	Cerrado	Campestre	Campo Limpo, Campo Sujo	BA, CE, DF, GO, MA, MG, MS, MT, PR, RO, SP	Junho	Colher quando as inflorescências estiverem secas. O uso de ensiladeira pode ajudar na colheita.	< 10% (ruim)	"




																
								[Saiba mais]
								
								



"		66666666				NÃO (Pioneira típica)	Recobrimento			Erva	ago-mai	Junho		NÃO	Vento	Anemocoria (vento)
Aristida setifoliaKunth	Capim-panasco	Aristida arenaria Trin, Aristida doelliana Henrard, Aristida elatior Döll ex Henrard, Aristida gardneriana Steud., Aristida sabulosa Kunth, Aristida setifolia var. arenaria (Trin.) Trin. & Rupr., Aristida setifolia var. grandiflora Döll, Aristida setifolia var. grandiflora Trin. & Rupr., Aristida setifolia var. intermedia Trin. & Rupr., Aristida setifolia var. parviflora Döll	Poaceae	Cerrado	Campestre, Savânica	Campo Rupestre, Cerrado Rupestre	BA, CE, MA, MG, MS, MT, PB, PE, PI, RJ, RN, SP, TO	Cerrado - jan-abr	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	10 a 19% (baixa)	"




																
								[Saiba mais]
								
								



"		1912500		Indireta em sementeira						Erva	Cerrado - dez-out	Cerrado - jan-abr		NÃO	Vento	Epizoocoria
Aristida torta(Nees) Kunth		Aristida breviglumis Mez, Aristida spadicea Trin., Aristida tincta Trin. & Rupr., Chaetaria spadicea (Kunth) Nees, Chaetaria torta Nees	Poaceae	Cerrado	Campestre	Campo Limpo	AM, AP, BA, DF, GO, MS, PA, PB, RR, TO	Cerrado - mar	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	50 a 80% (boa)	"




																
								[Saiba mais]
								
								



"		1630000		Indireta em sementeira						Erva	Cerrado - mar-set	Cerrado - mar		NÃO	Vento	Epizoocoria
Aspidosperma australeMüll. Arg.	Guatambu, Guatambu-amarelo, Peroba, Peroba-branca, Pereiro, Peroba-tambu, Pequiá, Tambú-verde E Tambú-canudo.	Aspidosperma argenteum Müll.Arg., Aspidosperma australe var. estrellense Hassl., Aspidosperma missionum Speg., Aspidosperma occidentale Malme, Aspidosperma quirandy var. angustifolium Hassl., Aspidosperma quirandy var. campestre Hassl., Aspidosperma quirandy var. silvaticum Hassl., Macaglia australis (Müll.Arg.) Kuntze	Apocynaceae	Pampa, Pantanal	Florestal, Savânica	Chaco, Floresta Estacional, Mata Ciliar, Mata Ripária, Mata Seca (decídua), Mata Semidecídua	DF, GO, MG, MS, MT, PR, RJ, RS, SC, SP	Pantanal -  jul a ago	Colher os frutos diretamente da árvore quando os primeiros abrirem espontaneamente. Em seguida levá-los ao sol para completarem a abertura e a liberação das sementes (Lorenzi, 1998a)	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	5000 a 11000	recalcitrante, perdendo seu poder germinativo 30 dias após a colheta	Direta em recipientes individuais	Pleno Sol	NÃO (Pioneira típica)	Recobrimento	Muito Rápido ( > 100 cm/ano)		Árvore (> 3 metros)	Pantanal -  jul a ago (Pott & Pott, 1994); Pampa - out-nov	Pantanal -  jul a ago (Lorenzi, 1998a); Pampa - abr-mai	Madeireiro, Ornamental, Tanífero, Tintorial	SIM	Mariposas	Anemocoria (vento)
Aspidosperma cylindrocarponMüll.Arg.	Peroba-poca, Guatambu	Aspidosperma brevifolia Rusby., Aspidosperma  lagoense M. Arg., Aspidosperma cylindrocarpon var.genuinum Hassl., Aspidosperma cylindrocarpon var. longipetiolatum Hassl., Aspidosperma cylindrocarpon var. macrophyllum Hassl.	Apocynaceae	Mata Atlântica	Florestal	Floresta Estacional Semidecidual	AL, AM, DF, ES, GO, MG, MS, MT, PR, RJ, RO, SE, SP	Mata Atlântica - ago - set	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida levá-los ao sol para secagem e liberação das sementes.	50 a 80% (boa)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	7200		Direta em recipientes individuais		SIM (Tolerante em todo o ciclo de vida)	Diversidade			Árvore (> 3 metros)	Mata Atlântica - set - nov	Mata Atlântica - dez - mai	Alimentício, Latex, Oleaginoso, Ornamental	SIM	Mariposas	Anemocoria (vento)
Aspidosperma desmanthumBeth. ex Mull. Arg.	Araracanga	Aspidosperma eteanum Markgr., Aspidosperma leucocymosum Kuhlm., Aspidosperma leucostachys Kuhlm. ex Markgr., Aspidosperma obscurinervium Azambuja	Apocynaceae	Amazônia	Florestal	Mata de Várzea, Terra Firme	AC, AM, AP, MA, MT, PA	set/abr	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea, quando as sementes podem ser coletadas no chão ao redor da arvore mãe. Em seguida deixa-los ao sol para completar sua abertura e a liberação das sementes para a semeadura.		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)		Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%		Diversidade		**Amazônia S01	Árvore (> 3 metros)	jun-ago	set/abr		NÃO	Mariposas	Anemocoria (vento)
Aspidosperma discolorA. DC.	Carapanaúba, Cabo-de-machado, Canela-de-velho, Carapanaúba-amarela, Pau-pereira, Pau-quina, Peroba, Peroba-de-gomo, Peroba-de-rego, Quina, Quina-quina E Quina-de-rego	Aspidosperma discolor var. parvifolium Müll.Arg., Aspidosperma francisii A.DC., Aspidosperma kuhlmannii Markgr., Aspidosperma oblongum A.DC., Aspidosperma salgadense Markgr., Macaglia discolor (A.DC.) Kuntze	Apocynaceae	Cerrado	Florestal	Cerradão, Mata Seca	AL, AM, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PI, RO, SP, TO	Cerrado - ago-set	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea, quando as sementes podem ser coletadas no chão ao redor da arvore mãe. Em seguida deixa-los ao sol para completar sua abertura e a liberação das sementes para a semeadura.	20 a 49% (regular)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	6000	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - set-out	Cerrado - ago-set	Artesanal, Ornamental	SIM	Mariposas	Anemocoria (vento)
Aspidosperma macrocarponMart.	Peroba-mico, Guatambu-do-cerrado, Guatambu, Peroba-cetim, Pereira, Pau-pereira, Muirajuçara, Pereiro	Aspidosperma duckei Huber ex Ducke, Aspidosperma gardneri Müll.Arg., Aspidosperma gardneri var. ellipticum Müll.Arg., Aspidosperma gardneri var. ovatum Müll.Arg., Aspidosperma lanatum (Kuntze) Malme, Aspidosperma lecointei auct. ex Record, Aspidosperma platyphyllum Müll.Arg., Aspidosperma snethlagei Markgr., Aspidosperma verbascifolium Müll.Arg., Macaglia gardneri (Müll.Arg.) Kuntze, Macaglia lanata Kuntze, Macaglia platyphylla (Müll.Arg.) Kuntze, Macaglia verbascifolia (Müll.Arg.) Kuntze, Macaglia macrocarpa (Mart.) Kuntze	Apocynaceae	Cerrado	Florestal	Cerradão, Mata Seca	AC, AM, AP, BA, DF, GO, MA, MG, MS, MT, PA, PI, RO, SP, TO	Cerrado - ago-set	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea, quando as sementes podem ser coletadas no chão ao redor da arvore mãe. Em seguida deixa-los ao sol para completar sua abertura e a liberação das sementes para a semeadura.	> 80% (ótima)	"


T1 Cerrado (BDPF = BEM DRENADO POUCO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	700 a 1100	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	Pleno Sol	NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)	P2=> BDPF: espécies de Cerrado (Ex.: Caryocar brasiliense, Eugenia dysenterica)	Árvore (> 3 metros)	Cerrado - jul-out	Cerrado - jul-out	Artesanal, Madeireiro, Melífero, Ornamental	SIM	Mariposas	Anemocoria (vento)
Aspidosperma oblongumA.DC.	Carapanaúba, Cabo-de-machado, Canela-de-velho, Carapanaúba-amarela, Pau-pereira, Pau-quina, Peroba, Peroba-de-gomo, Peroba-de-rego, Quina, Quina-quina, Quina-de-rego	Aspidosperma discolor A.DC.	Apocynaceae	Amazônia	Florestal	Terra Firme	AL, AM, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PI, PR, RN, RO, RR, RS, SC, SP, TO	nov/dez	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea, quando as sementes podem ser coletadas no chão ao redor da arvore mãe. Em seguida deixa-los ao sol para completar sua abertura e a liberação das sementes para a semeadura.		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	6000	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%		Diversidade		**Amazônia S01	Árvore (> 3 metros)	jul-jan	set-abr	Madeireiro, Ornamental	NÃO	Mariposas	Anemocoria (vento)
Aspidosperma olivaceumMüll.Arg.	Peroba, Guatambu	Macaglia olivacea (Mull.Arg.) Kuntze, Aspidosperma olivaceum var. obtusifolium Mull.Arg	Apocynaceae	Mata Atlântica	Florestal, Savânica	Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Floresta Ombrófila Mista, Restinga Arbórea/Arbustiva	AC, BA, ES, MG, PA, RJ, SE, SP	Mata Atlântica - ago - set	Podem ser colhidos no chão após sua queda ou diretamente na árvore.	> 80% (ótima)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"		5000	Não é indicado armazenar por muito tempo, pois a espécie possui comportamento fisiológico recalcitrante.	Direta em recipientes individuais		NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)		Árvore (> 3 metros)	Mata Atlântica - out - nov	Mata Atlântica - jul -ago	Latex	SIM	Mariposas	Anemocoria (vento)
Aspidosperma parvifoliumA. DC.	Guatambu-branco, Guatambu-oliva, Guatambu-legítimo, Guatambu-amarelo, Guatambu, Guatambu-rosa, Amarelão, Peroba, Peroba-vermelha	Aspidosperma tambopatense A.H.Gentry, Aspidosperma williamsii Duarte, Thyroma parvifolia (A.DC.) Miers	Apocynaceae	Cerrado, Mata Atlântica	Florestal, Savânica	Cerradão, Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Restinga Arbórea/Arbustiva	AC, AM, BA, CE, DF, ES, MG, MS, PE, PR, RJ, RR, SC, SP	Cerrado - ago-nov ; Mata Atlântica - jul - ago	Colher os frutos diretamente da árvore quando os primeios abrirem espontaneamente. Em seguida levá-los aos sol para completarem sua abertura e liberação das sementes.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	5000	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - ago-nov ; Mata Atlântica - ago - nov	Cerrado - jul-ago ; Mata Atlântica - jul - out	Madeireiro, Ornamental	SIM	Mariposas	Anemocoria (vento)
Aspidosperma polyneuronMüll. Arg.	Amargoso, Guatambu-amarelo, Pau Cabloco, Peroba-verdadeira, Pereiro, Peroba-comum, Peroba, Peroba-açu, Peroba-mirim, Perobeira, Peroba-osso, Peroba-paulista, Peroba-rajada, Peroba-de-são-paulo, Peroba-do-rio, Perobinha, Perova	Aspidosperma dugandii Standl., Aspidosperma peroba Allemão ex Saldanha, Aspidosperma polyneuron var. longifolium Hassl., Aspidosperma venosum Müll.Arg., Thyroma polyneura (Müll.Arg.) Miers	Apocynaceae	Cerrado	Florestal	Cerradão, Mata Seca	AL, BA, ES, GO, MG, MS, MT, PR, RJ, RO, SP	Cerrado - ago-out	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea, quando as sementes podem ser coletadas no chão ao redor da arvore mãe. Em seguida deixa-los ao sol para completar sua abertura e a liberação das sementes para a semeadura.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	14000	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - set-jan	Cerrado - mai-out	Madeireiro, Medicinal, Ornamental	SIM	Mariposas	Anemocoria (vento)
Aspidosperma pyrifoliumMart.	Pereiro, Pereiro-branco, Pereiro-preto, Peroba-rosa, Trevo, Pereiro-vermelho, Pau-pereiro, Pereiro-de-saia	Aspidosperma bicolor Mart., Aspidosperma guaraniticum Malme, Aspidosperma martii Silva Manso, Aspidosperma molle Mart., Aspidosperma populifolium A.DC., Aspidosperma pyrifolium var. molle (Mart.) Müll.Arg., Aspidosperma refractum Mart., Macaglia bicolor (Mart.) Kuntze, Macaglia martii (Silva Manso) Kuntze, Macaglia populifolia (A.DC.) Kuntze, Macaglia refracta (Mart.) Kuntze, Thyroma bicolor (Mart.) Miers, Macaglia pyrifolia (Mart.) Kuntze	Apocynaceae	Caatinga, Cerrado, Pantanal	Florestal, Savânica	Caatinga Arborea, Caatinga Arbustiva, Caatinga Ciliar, Cerradão, Chaco, Mata Seca, Mata Seca (decídua), Mata Semidecídua	AL, BA, CE, DF, GO, MG, MS, MT, PA, PB, PE, PI, RN, SE	Cerrado - ago-set  ; Pantanal -  ago-set ; Caatinga - out- jan	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida deixa-los secar a sombra para completar sua abertura e a liberação das sementes para a semeadura.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	3000	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - out-nov ; Pantanal -  out-nov; Caatinga - ago - dez	Cerrado - ago-set ; Pantanal -  ago-set; Caatinga - out - jan	Artesanal, Forrageiro, Madeireiro, Medicinal, Melífero, Ornamental	SIM	Mariposas	Anemocoria (vento)
Aspidosperma quebracho-blancoSchltdl.	Quebracho-branco, Quina	Aspidosperma chakensis Speg., Aspidosperma crotalorum Speg., Aspidosperma quebracho-blanco fo. malmeana Markgr., Aspidosperma quebracho-blanco fo. schlechtendaliana Markgr., Aspidosperma quebracho-blanco fo. spegazziniana Markgr., Aspidosperma quebracho-blanco subsp. brevifolium Hassl., Aspidosperma quebracho-blanco var. ellipticum Markgr., Aspidosperma quebracho-blanco var. pendula Speg., Aspidosperma quebracho-blanco var. pendula Speg. in Speg. & Girola, Aspidosperma quebrachoideum Rojas Acosta, Macaglia quebracho Kuntze, Macaglia quebracho-blanco (Schltdl.) A. Lyons (3)	Apocynaceae	Pampa, Pantanal	Savânica	Chaco, Vegetaçao Savanóide	MS	Pantanal -  out-nov	Colher os frutos diretamente na árvore quando iniciarem a abertura espontânea ou recolher as sementes no chão logo após a queda. Em seguida deixar os frutos secar à sombra até a completa abertura e liberação das sementes (Lorenzi, 1998b).	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"		4000	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	50%	NÃO (Pioneira típica)	Diversidade		P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Pantanal -  out (Pott & Pott, 1994)	Pantanal -  set até nov (Pott & Pott, 1994)	Madeireiro, Medicinal, Ornamental, Tanífero, Tintorial	NÃO	Mariposas	Anemocoria (vento)
Aspidosperma spruceanumBenth. ex Müll.Arg.	Peroba-cascuda, Amargoso, Peroba, Araracanga, Pau-amarelo, Pequiá-marfim, Pitiá, Quina-da-mata, Guatambu-rugoso	Aspidosperma centrale Markgr., Aspidosperma chiapense Matuda, Aspidosperma cruentum Woodson, Aspidosperma igapoanum Markgr., Aspidosperma leucomelanum Müll.Arg., Aspidosperma limae Woodson, Aspidosperma matudai Lundell, Aspidosperma melanocalyx Müll.Arg., Aspidosperma paniculatum Azambuja, Aspidosperma sandwithianum Markgr., Aspidosperma steinbachii Markgr., Aspidosperma verruculosum Müll.Arg., Aspidosperma verruculosum var. laeve Monach., Aspidosperma woodsonianum Markgr., Macaglia melanocalyx (Müll.Arg.) Kuntze, Macaglia verruculosa (Müll.Arg.) Kuntze, Macaglia spruceana (Benth. ex Müll.Arg.) Kuntze	Apocynaceae	Cerrado, Mata Atlântica	Florestal	Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Estacional Sempre Verde, Floresta Ombrófila Densa, Mata Seca, Mata de Galeria	AC, AL, AM, AP, BA, DF, GO, MA, MG, MT, PA, PB, PE, RJ, SP	Cerrado - dez-jan  ; Mata Atlântica - set - out	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea, quando as sementes podem ser coletadas no chão ao redor da arvore mãe. Em seguida deixa-los secar à sombra para completar sua abertura e a liberação das sementes para a semeadura.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	6100	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	Pleno Sol	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - jul-set ; Mata Atlântica - jul - ago	Cerrado - ago-set ; Mata Atlântica - ago-set	Artesanal, Madeireiro, Ornamental	NÃO	Mariposas	Anemocoria (vento)
Aspidosperma subincanumMart.	Guatambu-vermelho, Carrasco, Pau-pereira-do-mato, Guatambu, Perobinha, Pau-pereira-do-campo, Pereira-do-campo, Peroba-branca, Pereiro	Aspidosperma formosanum Duarte, Aspidosperma subincanum var. tomentosum Müll.Arg., Macaglia subincana (Mart. ex A.DC.) Kuntze	Apocynaceae	Cerrado, Pantanal	Florestal	Cerradão, Mata Ciliar, Mata Seca, Mata Seca (decídua), Mata Semidecídua, Mata de Galeria	BA, DF, GO, MA, MG, MS, MT, PA, PI, PR, SC, SP, TO	Cerrado - ago -nov   ; Pantanal -  ago -nov	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea, quando as sementes podem ser coletadas no chão ao redor da arvore mãe. Em seguida deixa-los ao sol para completar sua abertura e a liberação das sementes para a semeadura.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	3300 a 3800	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	Pleno Sol	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - set-dez ; Pantanal -  set-dez	Cerrado - ago-set ; Pantanal -  ago-set	Artesanal, Madeireiro	SIM	Mariposas	Anemocoria (vento)
Aspidosperma tomentosumMart.	Peroba-do-cerrado, Peroba-do-cambo, Pau-pereira-do-campo, Pereira-do-campo, Taroba	Aspidosperma camporum Müll.Arg., Aspidosperma chodatii Hassl. ex Markgr., Aspidosperma dasycarpon A.DC., Aspidosperma hilarianum Müll.Arg., Aspidosperma nemorale Handro, Aspidosperma obscurum Müll.Arg., Aspidosperma pallidiflorum Müll.Arg., Aspidosperma rojasii Hassl., Aspidosperma tomentosum var. angustifolium Müll.Arg., Aspidosperma tomentosum var. claussenii A.DC., Aspidosperma velutinum Fisch. ex Müll.Arg., Macaglia dasycarpa (A.DC.) Kuntze, Macaglia gomeziana (A.DC.) Kuntze, Macaglia hilariana (Müll.Arg.) Kuntze, Macaglia obscura (Müll.Arg.) Kuntze, Macaglia tomentosa (Mart.) Kuntze	Apocynaceae	Cerrado, Pantanal	Florestal, Savânica	Cerrado Rupestre, Cerrado Típico, Cerradão, Mata Seca	AC, BA, CE, DF, GO, MA, MG, MS, MT, PA, PE, PI, PR, RJ, SC, SP, TO	Cerrado - ago-out  ; Pantanal -  mai-jun	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea, quando as sementes podem ser coletadas no chão ao redor da arvore mãe. Em seguida deixa-los secar à sombra para completar sua abertura e a liberação das sementes para a semeadura.	50 a 80% (boa)	"


T1 Cerrado (BDPF = BEM DRENADO POUCO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	2100	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	Pleno Sol	NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)	P2=> BDPF: espécies de Cerrado (Ex.: Caryocar brasiliense, Eugenia dysenterica)	Árvore (> 3 metros)	Cerrado - jul-out ; Pantanal -  set a out (Pott & Pott, 1994)	Cerrado - ago-out ; Pantanal -  mai a jun (Pott & Pott, 1994)	Artesanal, Cortiça, Madeireiro, Ornamental	SIM	Mariposas	Anemocoria (vento)
Aspilia foliacea(Spreng.) Baker	Margarida-do-campo	Aspilia burchellii Baker, Aspilia elegans J.-P. Lebrun & Stork, Aspilia hirsuta Benth. & Hook. f. ex Hook. f. & B.D. Jacks., Aspilia pusilla Baker, Viguiera foliacea Spreng., Viguiera glabra Gardner, Viguiera hirsuta Gardner, Viguiera pusilla (A. Gray) S.F. Blake, Wedelia burchellii (Baker) B.L. Turner, Wedelia glabra (Gardner) B.L. Turner, Wedelia hirsuta (Gardner) B.L. Turner.	Asteraceae	Cerrado	Campestre	Campo Rupestre	BA, DF, GO, MG, MS, MT, PR, RR, RS, SP, TO	Cerrado - abr-jun	Coleta manual de infrutescências (flores secas) com uso de foice de mão. Observar se há sementes dentro das flores secas. As flores secas são desagregadas manualmente e passadas em peneira para separar as sementes.		"




																
								[Saiba mais]
								
								



"										Erva	Cerrado - set-jan	Cerrado - abr-jun		NÃO	Abelhas	Anemocoria (vento)
Astrocaryum aculeatumG.Mey.	Tucumã-do-Amazonas	Astrocaryum tucuma Mart.	Arecaceae	Amazônia	Florestal, Savânica	Savana, Terra Firme	AC, AM, MT, PA, RO, RR	jan-dez	O cacho deve ser colhido com facão quando os frutos apresentarem coloração alaranjada e deixado secar à sombra para amadurecimento completo dos frutos. Após amadurecimento, os frutos devem ser deixados de molho em água para amolecer e facilitar a retirada da semente para a semeadura.	10 a 19% (baixa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	36	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	50%	NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)	**Amazônia S01	Palmeira	jan-dez	jan-dez	Alimentício	NÃO	Abelhas, besouros	Zoocoria (Fauna)
Astrocaryum murumuruMart.	Murumuru		Arecaceae	Amazônia	Florestal	Mata Ciliar, Mata de Várzea, Terra Firme	AC, AM, AP, PA, RO	jun/nov	O cacho deve ser colhido com facão quando os frutos apresentarem coloração alaranjada e deixado secar à sombra para amadurecimento completo dos frutos. Após amadurecimento, os frutos devem ser deixados de molho em água para amolecer e facilitar a retirada da semente para a semeadura.	10 a 19% (baixa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)		Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Lento (até 30 cm/ano)	**Amazônia S01	Palmeira	dez-mai	jun/nov	Alimentício, Oleaginoso	NÃO	Besouros	Zoocoria (Fauna)
