id,Espécie,Nome Popular,Sinonímia,Gênero,Família,Bioma,Formação Vegetal,Fitofisionomias,Presença nos estados,Período de coleta de sementes,Beneficiamento de sementes,Porcentagem de germinação,Substrato da muda,Desenvolvimento da muda no viveiro,Número de sementes/kg,Armazenamento,Semeadura,Nível de sombreamento da muda no viveiro,Tolerância a Sombra,Estratégia ecológica de ocupação,Desenvolvimento da muda no campo,Recomendação de adubação no plantio no campo,Porte da planta,Período de floração,Período de frutificação,Uso Econômico,Caducifolia,Polinização,Dispersão
203,Clitoria fairchildiana,Palheteira|Sombreiro,Clitoria racemosa,Clitoria,Fabaceae,amazonia,florestal|savanica,mata ciliar|mata de varzea|restinga|savana|terra firme,al|am|ap|ba|ce|es|go|ma|mg|ms|pa|pb|pe|pi|pr|rj|rn|ro|rs|sc|se|sp|to,all: (mai-jul),"Como os frutos apresentam abertura explosiva, as vagens devem ser colhidas diretamente da árvore antes da abertura natural. Em seguida, devem ser expostas ao sol para secar e facilitar a abertura e a liberação das sementes.",3.0,s1,2.0,1.8,Tempo indeterminado em câmara fria.,1.0,1.0,,diversidade,,s01,arvore,all: (abr-mai),all: (mai-jul),madeireiro|ornamental,1.0,abelhas,autocoria
204,Clusia criuva,Clusia|Criúba|Criúva|Manga Da Praia|Mangue Formiga,Clusia cambessedii,Clusia,Clusiaceae,cerrado,florestal|savanica,mata de galeria|vereda,ba|df|go|mg|pr|rj|rs|sc|sp,cerrado: (ago-out),"Coletar os frutos diretamnete da árvore quando iniciarem a abertura espontânea. Em seguida, devem ser deixados secar à sombra para completar a abertura e facilitar a remoção das sementes. Não há necessidade de retirar o arilo que envolve as sementes, apenas deixar secar um pouco.",2.0,t4,1.0,30.0,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,1.0,diversidade,,p4,arvore,cerrado: (set-fev),cerrado: (jun-out),melifero|ornamental,0.0,abelhas,zoocoria
205,Cnidoscolus quercifolius,Faveleiro|Favela|Faveleira|Mandioca-brava|Queimadeira¹,Cnidoscolus phyllacanthus,Cnidoscolus,Euphorbiaceae,caatinga,florestal|savanica,caatinga arborea|caatinga arbustiva|caatinga ciliar,ba|ce|mg|pb|pe|pi|rn|se,all: (mar-ago),"Coletar os frutos quando o exocarpo estiver enrolado e ainda aderido  (cerca de 65 dias após a floração). Em seguida, deixá-los secar em local sombreado para se abrirem e liberarem as sementes. Como os frutos apresentam deiscência explosiva, durante a secagem devem ser cobertos com tela ou peneira.",3.0,t3,0.0,3.3,,2.0,1.0,0.0,diversidade,0.0,p3,arvore,all: (ago-abr),all: (jan-ago),alimenticio|forrageiro|latex|madeireiro|medicinal|melifero|repelente|toxico para animais,1.0,abelhas,autocoria
206,Cochlospermum regium,Algodãozinho-do-cerrado|Algodãozinho|Algodão-bravo,Azeredia pernambucana|Arruda ex|Cochlospermum insigne|Cochlospermum trilobum|Maximilianea longirostrata|Maximilianea regia|Maximilianea regia|Wittelsbachia insignis,Cochlospermum,Bixaceae,cerrado|pantanal,campestre|florestal|savanica,campo sujo|cerrado tipico|cerradao,am|ap|df|go|ma|mg|ms|mt|pr|rn,cerrado: (ago-set); pantanal: (ago-set),Colher os frutos diretamente da planta quando iniciarem a abertura espontânea. Em seguida levá-los ao sol para completar a abertura e facilitar a separação manual das sementes encontradas no meio das plumas.,2.0,t1,0.0,33.3,Tempo indeterminado em câmara fria.,1.0,1.0,2.0,diversidade,0.0,p2,arbusto,cerrado: (mai-set); pantanal: (mai-set),cerrado: (ago-set); pantanal: (ago-set),forrageiro|medicinal|ornamental,1.0,abelhas,anemocoria
207,Coleataenia prionitis,,Panicum prionitis|Sorengia prionitis,Coleataenia,Poaceae,pampa,campestre,banhado|campo umido,ms|pr|rs,,,,,,,,,,,,,,erva,,,,,,
208,Colubrina glandulosa,Sobrasil,,Colubrina,Rhamnaceae,mata atlantica,florestal,floresta estacional semidecidual|floresta ombrofila densa,ac|am|rr,mata atlantica: (dez-fev),"Após abertura espontânea dos frutos, levá-los ao sol para completar a abertura e liberação das sementes.",4.0,ga,1.0,47.6,Armazenadas em sacos plástico em ambiente de laboratório.,2.0,,2.0,recobrimento,,,arvore,mata atlantica: (out-dez),mata atlantica: (mai-set),latex|madeireiro|ornamental,1.0,abelhas|moscas,autocoria
209,Combretum duarteanum,Caatinga-branca|Vaqueta|Gabirobinha|Mofumbo|Jacarezinho,,Combretum,Combretaceae,cerrado|pantanal,florestal,cerradao|mata seca|mata semidecidua,ba|ce|go|ma|mg|ms|mt|pa|pb|pe|pi|sp|to,cerrado: (abr-set); pantanal: (dez-jan),"Os frutos devem ser colhidos diretamente da árvore, quando iniciarem a queda espontânea ou no chão após a queda. Recomenda-se colocar o fruto para germinar diretamente como se fossem sementes.",3.0,t3,0.0,,Tempo indeterminado em câmara fria.,2.0,3.0,1.0,diversidade,1.0,p3,arvore,cerrado: (dez-jan); pantanal: (out-dez),cerrado: (abr-set); pantanal: (dez-jan),melifero|ornamental,1.0,beija-flores,anemocoria
210,Combretum leprosum,Carne-de-vaca,Combretum hasslerianum|Combretum jacquinii|Combretum leptostachyum,Combretum,Combretaceae,caatinga|pantanal,florestal|savanica,caatinga arbustiva|caatinga ciliar|cerradao|mata riparia|mata seca (decidua)|mata semidecidua,ba|ce|es|go|ma|mg|ms|mt|pa|pb|pe|pi|rn|to,pantanal: (nov-mai); caatinga: (mar-jun),"Colher os frutos diretamente da árvore quando iniciarem a queda espontânea. Este já podem ser considerados como ""sementes"" para fins de semeadura, uma vez que a remoção da verdadeira semente do seu interio é uma operação muito trabalhosa (Lorenzi, 1998b).",4.0,t3,,6.0,,2.0,3.0,0.0,diversidade,,,arvore,pantanal: (jul-nov); caatinga: (fev-abr),pantanal: (set-mai); caatinga: (mar-jun),forrageiro|madeireiro|medicinal|melifero|ornamental,1.0,abelhas|vespas|borboletas,anemocoria
211,Commiphora leptophloeos,Imburana|Umburana-de-cambão¹,,Commiphora,Burseraceae,caatinga,florestal|savanica,caatinga arborea|caatinga arbustiva|caatinga ciliar,al|am|ba|ce|go|ma|mg|ms|mt|pa|pb|pe|pi|rn|rr|se|to,all: (mar-jun),"Os frutos devem ser coletados diretamente da 
árvore, quando iniciarem a abertura espontânea. 
Em seguida, devem ser expostos ao sol, para 
completarem a abertura e a liberação das sementes.",2.0,t3,0.0,5.3,Sementes recalcitrantes. Pouco tempo de armazenamento.,2.0,2.0,0.0,diversidade,0.0,p3,arvore,all: (out-jan),all: (nov-jun),alimenticio|artesanal|forrageiro|latex|madeireiro|medicinal|melifero|ornamental|cultural/ritualistico,1.0,abelhas,zoocoria
212,Connarus suberosus,Araruta-do-campo|Galinha-choca|Cabelo-de-nego|Podoio|Aceitona-brava|Pau-ferro,Cnestidium lasiocarpum|Cnestis lasiocarpa|Connarus fulvus,Connarus,Connaraceae,cerrado|pantanal,campestre|florestal|savanica,campo sujo|campo nao inundavel|cerrado tipico|cerradao,ba|df|go|ma|mg|ms|mt|pa|pi|pr|sp|to,cerrado: (fev-fev); pantanal: (jan-fev),Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida deixá-los ao sol para completar a abertura e a liberação das sementes.,3.0,t1,0.0,2.6,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,3.0,0.0,diversidade,0.0,p2,arbusto,cerrado: (ago-out); pantanal: (ago-nov),cerrado: (set-fev); pantanal: (nov-fev),artesanal|cortica|forrageiro|madeireiro|medicinal|melifero|ornamental|tanifero,1.0,abelhas,zoocoria
213,Copaifera duckei,Copaíba|Pau-de-óleo,Copaifera cearensis|Huber ex|Copaifera cearensis|Huber ex|Ducke var,Copaifera,Fabaceae,amazonia,florestal|savanica,restinga|terra firme,ba|ce|ma|mt|pb|pi|rj|to,all: (fev-jul),Coletar os frutos diretamente da árvore quando iniciarem a abertura e a queda espontânea. Depois da coleta os frutos deverão se colocados em local ventilado e sombreado para total secagem e liberação do arilo aderente às sementes. Após esse procedimento deverão ser escarificadas no local oposto ao hilo.,3.0,s1,1.0,1.85,Tempo indeterminado em câmara fria.,2.0,1.0,1.0,diversidade,0.0,s01,arvore,all: (jan-mar),all: (fev-jul),aromatico|cosmetico|madeireiro|medicinal|oleaginoso|ornamental,0.0,abelhas,zoocoria
214,Copaifera langsdorffii,Copaíba-vermelha|Copaíba|Copaúba|Oleiro|Óleo De Copaíba|Pau-d'oleo,Copaifera laxa|Copaifera sellowii|Copaiba langsdorffii,Copaifera,Fabaceae,cerrado|mata atlantica,campestre|florestal|savanica,campos rupestres|cerrado rupestre|cerrado tipico|cerradao|floresta estacional semidecidual|floresta ombrofila densa|mata ciliar|mata seca|mata de galeria,ac|am|ba|ce|df|go|ma|mg|ms|mt|pa|pr|rs|sp,cerrado: (mai-out); mata atlantica: (ago-set) (mai-out),Coletar os frutos diretamente da árvore quando iniciarem a abertura e a queda espontânea. Depois da coleta os frutos deverão se colocados em local ventilado e sombreado para total secagem e liberação do arilo aderente às sementes. Após esse procedimento deverão ser escarificadas no local oposto ao hilo.,2.0,t3,0.0,1.96,Tempo indeterminado em câmara fria.,2.0,3.0,1.0,diversidade,0.0,p3,arvore,cerrado: (set-mar); mata atlantica: (dez-mar),cerrado: (mai-out); mata atlantica: (mai-jun) (out,artesanal|madeireiro|medicinal|melifero|oleaginoso|ornamental|tintorial,1.0,abelhas,zoocoria
215,Copaifera martii,Guaranazinho,Copaiba martii,Copaifera,Fabaceae,pantanal,florestal|savanica,cerrado tipico|cerradao,am|ce|ma|mg|ms|mt|pa|pi|to,pantanal: (jul-ago),"Os frutos maduros (abertos ou semiabertos) devem ser colhidos diretamente da árvore antes da abertura completa. Em seguida, devem ser expostos ao sol para completar a abertura e a liberação das sementes. A polpa deve ser retirada da semente antes da semeadura. A semente possui dormência que pode ser quebrada com escarificação ácida.",3.0,t3,0.0,1.85,Tempo indeterminado em câmara fria.,2.0,1.0,2.0,recobrimento,0.0,p3,arbusto,pantanal: (jan-mai),pantanal: (jul-ago),alimenticio|forrageiro|fibra|madeireiro|medicinal|melifero|oleaginoso|resina,0.0,abelhas,zoocoria
216,Copaifera multijuga,Copaíba|Copaíba-angelim|Copaíba-branca|Copaíba-rósea,Copaiba multijuga,Copaifera,Fabaceae,amazonia,florestal|savanica,restinga|savana|terra firme,am|mt|pa|ro,all: (jul-ago),Coletar os frutos diretamente da árvore quando iniciarem a abertura e a queda espontânea. Depois da coleta os frutos deverão se colocados em local ventilado e sombreado para total secagem e liberação do arilo aderente às sementes. Após esse procedimento deverão ser escarificadas no local oposto ao hilo.,3.0,s1,0.0,1.85,Tempo indeterminado em câmara fria.,2.0,1.0,1.0,diversidade,0.0,s01,arvore,all: (fev-mar),all: (mai-ago),madeireiro,0.0,abelhas,zoocoria
217,Copernicia alba,Carandá|Carandeiro|Carandaí,Copernicia australis|Copernicia nigra|Copernicia ramulosa|Copernicia rubra|Coryphomia tectorum,Copernicia,Arecaceae,pantanal,campestre|florestal|savanica,campo inundavel|chaco|mata riparia|mata seca (decidua)|mata semidecidua,ms|mt,pantanal: (mar-mai),"Os frutos devem ser colhidos diretamente da árvore quando iniciarem a queda espontânea, ou serem colhidos no chão ao redor da árvore. Realizar a debulha (atrito) manual utilizando-se uma peneira de malha média, bem como retirar as sementes fora de padrão (separação no diafanoscópio e imersão em água). A água corrente acelera e otimiza o processo de germinação dessa espécie (Jorge et al., 2014).",2.0,t3,0.0,0.32,,1.0,1.0,0.0,diversidade,0.0,,palmeira,pantanal: (jul-dez),pantanal: (jan-mai),alimenticio|artesanal|fibra|madeireiro|medicinal|melifero|oleaginoso|ornamental,0.0,abelhas,zoocoria
218,Copernicia prunifera,Carnaúba,Copernicia cerifera|Corypha cerifera,Copernicia,Arecaceae,caatinga,florestal|savanica,caatinga arborea|caatinga ciliar|mata ciliar|palmeiral,al|ba|ce|ma|mt|pb|pe|pi|rn|se|to,all: (nov-mar),"Coletar os frutos maduros (coloração preta) na própria
planta. Deve-se retirar a casca dos frutos e eliminar as sementes
atacadas por insetos.",2.0,t3,0.0,0.38,Armazenamento em câmara fria por período inferior a um ano.,2.0,2.0,0.0,diversidade,0.0,p3,palmeira,all: (jul-out),all: (nov-mar),alimenticio|artesanal|cosmetico|fibra|madeireiro|medicinal|melifero|oleaginoso|ornamental|resina,0.0,abelhas,zoocoria
219,Cordia alliodora,Freijó,Cordia cujabensis|Gerascanthus alliodorus,Cordia,Boraginaceae,amazonia,florestal,terra firme,ac|am|ap|go|ma|ms|mt|pa|pi|pr|ro|rr|to,all: (jul-ago),"Colher os frutos (inflorescências secas) diretamente da árvore e deixá-las ao sol para secagem leve. Esfregar manualmente esse material para remoção dos restos florais. Como as verdadeiras sementes são difíceis de separar dos frutos secos, estes podem ser diretamente utilizados para a semeadura.",2.0,s1,1.0,30.0,Tempo indeterminado em câmara fria.,1.0,1.0,2.0,recobrimento,1.0,s01,arvore,all: (jun-jul),all: (jul-ago),madeireiro|medicinal,1.0,abelhas,anemocoria
220,Cordia americana,Guajuvira,Patagonula americana,Cordia,Boraginaceae,pampa,florestal|savanica,floresta estacional|mata ciliar|restinga|vegetacao savanoide,ms|pr|rs|sc|sp,,Colher os frutos diretamente da árvore quando apresentarem cor amarelada escura. Retirar as membranas que recobrem a semente.  Pode ser propagada por estacas de galho e por estcas altas tipo mourão.,3.0,,1.0,43.0,"recalcitrante, começa a perder o poder germinativo em 1 mês se armazenadas em ambientes não controlados. Em condições ideais podem durar até 19 meses",1.0,,2.0,diversidade,0.0,,arvore,all: (set-out),all: (nov-dez),artesanal|latex|madeireiro|medicinal|oleaginoso|ornamental,1.0,abelhas|insetos pequenos,anemocoria
221,Cordia bicolor,Freijó-branco,Cordia araripensis,Cordia,Boraginaceae,amazonia,florestal,terra firme,ac|al|am|ap|ba|ce|ma|ms|mt|pe|rn|ro,all: (out-mar),"Colher os frutos (inflorescências secas) diretamente da árvore e deixá-las ao sol para secagem leve. Esfregar manualmente esse material para remoção dos restos florais. Como as verdadeiras sementes são difíceis de separar dos frutos secos, estes podem ser diretamente utilizados para a semeadura.",2.0,s1,1.0,,Tempo indeterminado em câmara fria.,1.0,1.0,0.0,diversidade,1.0,s01,arvore,all: (ago-out),all: (out-mar),madeireiro,0.0,abelhas,anemocoria
222,Cordia glabrata,Peteribi|Claraíba|Louro-preto|Piquana-negra|Claraibeira|Louro-de-mato-grosso|Louro-branco,Gerascanthus glabrata,Cordia,Boraginaceae,cerrado|pantanal,campestre|florestal,campo nao inundavel|cerradao|mata ciliar|mata seca|mata seca (decidua)|mata semidecidua|mata de galeria,ba|go|mg|ms|mt|pa|pi,cerrado: (set-out); pantanal: (set-nov),"Colher os frutos (inflorescências secas) diretamente da árvore e deixá-las ao sol para secagem leve; isso facilita a remoção dos pedúnculos e aderentes através do esfregaço manual. Após esse preparo, o cálice permanece aderente ao fruto; não devendo ser retirado. Como as verdadeiras sementes não são separáveis dos frutos, estes devem ser diretamente utilizados para a semeadura.",1.0,t3,1.0,30.0,Tempo indeterminado em câmara fria.,1.0,1.0,1.0,diversidade,1.0,p3,arvore,cerrado: (jul-set); pantanal: (ago-out),cerrado: (set-out); pantanal: (set-out),artesanal|madeireiro|melifero|ornamental,1.0,abelhas,anemocoria
223,Cordia goeldiana,Freijó-cinza,Gerascanthus goeldiana,Cordia,Boraginaceae,amazonia,florestal,terra firme,am|ap|ma|mt|pb|ro,all: (nov-jan),"Colher os frutos (inflorescências secas) diretamente da árvore e deixá-las ao sol para secagem leve. Esfregar manualmente esse material para remoção dos restos florais. Como as verdadeiras sementes são difíceis de separar dos frutos secos, estes podem ser diretamente utilizados para a semeadura.",3.0,s1,1.0,37.0,Tempo indeterminado em câmara fria.,1.0,1.0,1.0,diversidade,1.0,s01,arvore,all: (set-dez),all: (nov-jan),madeireiro|ornamental,0.0,abelhas,anemocoria
224,Cordia oncocalyx,Pau-branco|Pau-branco-do-sertão|Pau-branco-preto¹,Auxemma oncocalyx,Cordia,Boraginaceae,caatinga,florestal|savanica,caatinga arborea|caatinga arbustiva|mata brejo de altitude,ce|pb|pe|rn,all: (jun-set),"Coletar os frutos diretamente da árvore, quando iniciarem a queda espontânea ou recolhidos do chão logo após a queda. Em seguida, deve-se  retirar o envoltório paleáceo, que recobre a semente. Antes da semeadura, as sementes devem ser escarificadas manualmente ou submetidas à imersão em solução branda de soda cáustica a 30 % durante 3 dias.",3.0,t3,0.0,0.6875,Armazenamento por tempo superior a 10 meses.,2.0,2.0,1.0,diversidade,0.0,p3,arvore,all: (mar-ago),all: (abr-set),forrageiro|madeireiro|medicinal|ornamental,1.0,moscas,anemocoria
225,Cordia sellowiana,Juruté|Chá-de-bugre|Louro-mole|Louro|Catuteiro-branco|Mata Fome|Capitão-do-mato,,Cordia,Boraginaceae,cerrado|pantanal,florestal|savanica,cerrado tipico|cerradao|mata riparia|mata seca|mata semidecidua|mata de galeria,ac|al|am|ap|ba|ce|df|go|mg|mt|pb|pe|pr|rj|sp,cerrado: (set-out); pantanal: (set-out),Colher os frutos diretamete da árvore quando adquirirem a coloração alaranjada. Em seguida deixá-los amontoados em saco plástico dureante alguns dias até a decomposição parcial de sua polpa para facilitar a remoção da semente através da lavagem em água corrente. Após esses procedimentos colocar as sementes para germinação.,2.0,t3,1.0,2.75,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,1.0,diversidade,1.0,p3,arvore,cerrado: (jun-ago); pantanal: (jun-ago),cerrado: (set-out); pantanal: (set-out),artesanal|ornamental,1.0,abelhas,zoocoria
226,Cordia superba,Babosa-branca|Baba-de-boi|Cordia|Grão-de-galo,Cordia intermedia,Cordia,Boraginaceae,mata atlantica,florestal,floresta ombrofila densa,ba|ce|es|go|ma|mg|pb|pe|pi|pr|rj|rn|sc|sp|to,mata atlantica: (set-nov),Despolpá-los manualmente através de esfregaço em peneira sob água corrente e deixá-los ao sol para secagem.,4.0,ga,0.0,3.3,Elas devem ser armazenadas a frio,2.0,,0.0,recobrimento,1.0,,arvore,mata atlantica: (out-fev),mata atlantica: <es (mar-abr)><rj (mai-jun)><mg (set-nov)><al (nov-dez)>,latex|madeireiro|oleaginoso|ornamental,1.0,besouros,zoocoria
227,Cordia trichotoma,Freijó|Cambará Açú|Canela Batata|Louro|Louro-pardo,,Cordia,Boraginaceae,cerrado|pampa,florestal,cerradao|floresta estacional|mata ciliar|mata seca|mata de galeria,al|ba|ce|df|go|mg|ms|mt|pb|pe|pi|pr|rj|rn,cerrado: (set-out),"Colher os frutos (inflorescências secas) diretamente da árvore e deixá-las ao sol para secagem leve; isso facilita a remoção dos pedúnculos e aderentes através do esfregaço manual. Após esse preparo, o cálice permanece aderente ao fruto; não devendo ser retirado. Como as verdadeiras sementes não são separáveis dos frutos, estes devem ser diretamente utilizados para a semeadura.",3.0,t3,1.0,27.6,"Recalcitrante, perdendo a viabilidade em ambiente não controlado 2 meses, porém em condições ideais podem durar até 3 anos.",2.0,1.0,1.0,diversidade,1.0,p3,arvore,cerrado: (abr-jul); pampa: (fev-abr),cerrado: (abr-dez); pampa: (mai-jul),artesanal|forrageiro|madeireiro|medicinal|melifero|ornamental,1.0,abelhas,anemocoria
228,Cordiera sessilis,Marmelada|Marmelada-preta|Marmelada-de-cachorro|Marmelo-do-campo,Gardenia sessilis|Alibertia melloana|Alibertia subaurea|Alibertia sessilis,Cordiera,Rubiaceae,cerrado|pantanal,florestal|savanica,cerrado tipico|cerradao|mata riparia|mata seca|mata semidecidua|mata de galeria,df|go|ma|mg|ms|mt|pa|pi|sp|to,cerrado: (nov-dez); pantanal: (nov-jan),Colher frutos diretamente da árvore quando iniciarem a abertura espontânea ou recolhê-los no chão logo após a queda. Em seguida deixá-los amontoados em saco plástico durante alguns dias até a decomposição parcial da polpa para facilitar a separação das sementes através de água corrente.,3.0,t3,1.0,25.0,,2.0,1.0,1.0,diversidade,1.0,p3,arbusto,cerrado: (ago-set); pantanal: (ago-out),cerrado: (nov-dez); pantanal: (ago-jan),alimenticio|medicinal|ornamental,0.0,abelhas|mariposas,zoocoria
229,Couepia bracteosa,Pajurá,Moquilea bracteosa|Moquilea rufa,Couepia,Chrysobalanaceae,amazonia,florestal,terra firme,am|ap|pa|ro,all: (fev-mai),Colher os frutos no chão quando iniciarem a queda espontânea. Em seguida deixá-los amontoados em saco plástico durante alguns dias até a decomposição parcial de sua polpa. Isso facilita a remoção da semente através da lavagem em água corrente.,1.0,s1,1.0,0.01,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,,diversidade,,s01,arvore,all: (jul-set),all: (fev-mai),,,morcegos,zoocoria
230,Couepia grandiflora,Genciana|Suquiana|Oiti|Uiti,Couepia formosana|Couepia suberosa|Moquilea grandiflora,Couepia,Chrysobalanaceae,pantanal,florestal|savanica,cerrado tipico|cerradao,ba|df|go|ma|mg|ms|mt|pr|ro|sp|to,pantanal: (jan-fev),"Colher os frutos diretamente da árvore quando iniciarem a queda espontânea, ou recolhê-los no chão logo após a queda (Lorenzi, 1998a).",1.0,t1,0.0,0.11,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,1.0,0.0,diversidade,0.0,p2,arvore,pantanal: (ago-out),pantanal: (dez-fev),madeireiro|melifero|ornamental,1.0,mariposas,zoocoria
231,Couepia longipendula,Castanha-de-galinha,,Couepia,Chrysobalanaceae,amazonia,florestal,terra firme,am|pa,all: (nov-mar),Colher os frutos no chão quando iniciarem a queda espontânea. Abrir os frutos manualmente com facão ou ferramenta específica para retirada da castanha.,1.0,s1,0.0,0.5,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,1.0,diversidade,0.0,s01,arvore,all: (set-nov),all: (nov-mar),alimenticio|madeireiro|medicinal,0.0,morcegos,zoocoria
232,Couma macrocarpa,Sorva,Couma capiron|Couma caurensis|Couma guatemalensis|Couma sapida,Couma,Apocynaceae,amazonia,florestal,terra firme,ac|am|ba|mt|pa|ro|rr,all: (mar-jun),Colher os frutos diretamente na árvore quando maduros ou no chão quando iniciarem a queda espontânea. Remover a polpa manualmente para obtenção das sementes.,3.0,s1,1.0,6.4,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,1.0,2.0,diversidade,1.0,s01,arvore,all: (jul-out),all: (mar-jun),alimenticio|latex|madeireiro|medicinal,0.0,mariposas,zoocoria
233,Couma utilis,Sorva|Sorvinha|Sorva-miúda|Sorva-pequena|Cumã|Cuma|Couma|Soruvina|Milk-tree,Collophora utilis|Couma dulcis|Spruce ex|Couma multinervis,Couma,Apocynaceae,amazonia,florestal,mata de varzea|terra firme,ac|am|ap|pa|ro|rr,all: (nov-fev),Colher os frutos diretamente na árvore quando maduros ou no chão quando iniciarem a queda espontânea. Remover a polpa manualmente para obtenção das sementes. As sementes apresentam dormência.,4.0,s1,,34.0,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,0.0,diversidade,,s01,arvore,all: (mai-jun),all: (nov-fev),alimenticio|artesanal|latex|madeireiro|ornamental|tintorial,0.0,mariposas,zoocoria
234,Couratari guianensis,Tauari,Cariniana paraensis|Couratari bragancae|Couratari paraensis|Couratari pulchra|Lecythis couratari,Couratari,Lecythidaceae,amazonia,florestal,terra firme,ac|am|ap|mg|pa|ro,all: (nov-jun),Colher os frutos (cápsula) diretamente da árvore quando iniciarem a abertura espontânea. Em seguida deixá-los ao sol para completarem sua abertura e a liberação das sementes. Separar manualmente as asas antes da semeadura,,s1,1.0,,,1.0,1.0,1.0,diversidade,,s01,arvore,all: (out-fev),all: (nov-jun),artesanal|madeireiro|ornamental,0.0,abelhas,anemocoria
235,Couratari stellata,Tauari,Couratari reticulata,Couratari,Lecythidaceae,amazonia,florestal,terra firme,am|mt|pa,all: (jan-fev),Colher os frutos diretamente na árvore quando iniarem a abertura expontânea. Deixar no sol para completar a abertura e liberação das sementes.,,s1,,,,,1.0,1.0,diversidade,,s01,arvore,all: (set-nov),all: (jan-fev),madeireiro,0.0,abelhas|besouros,anemocoria
236,Crateva tapia,Cabaceira|Cabaceira-do-pantanal|Cabeceira|Crataeva Tapia,Cleome arborea|Crateva benthamii|Crataeva tapia,Crateva,Capparaceae,pantanal,florestal|savanica,chaco|mata riparia,ac|al|am|ba|ce|es|ma|ms|mt|pa|pb|pe|pi|rj|rn|se|sp,pantanal: (mar-mai),"Colher os frutos diretamente da arvore quando iniciarem a queda espontânea, ou recolhê-los no chão logo após a queda. Em seguida, deixá-lo amontoados durante alguns dias até sua decomposição parcial para facilitar a separação das sementes por lavagem em água corrente dentro de peneira (Lorenzi, 1998b).",2.0,t4,1.0,6.0,,1.0,3.0,0.0,recobrimento,1.0,p4,arvore,pantanal: (ago-nov),pantanal: (jan-mai),alimenticio|madeireiro|medicinal|melifero|ornamental,0.0,abelhas,zoocoria
237,Crotalaria tweediana,,,Crotalaria,Fabaceae,pampa,campestre,campo seco|campo umido,pr|rs|sc,all: (abr-abr),,,,,,,,,,,,,arbusto,all: (set-abr),all: (set-abr),ornamental,,,autocoria
238,Croton conduplicatus,Quebra Faca¹,,Croton,Euphorbiaceae,caatinga,savanica,caatinga arbustiva|caatinga ciliar,ba|mg|pe|pi,all: (fev-abr),"Os frutos devem ser coletados diretamente da 
planta, quando iniciarem a abertura espontânea. 
Em seguida, devem ser expostos ao sol, para 
completarem a abertura e a liberação das sementes.",2.0,t3,0.0,,,2.0,2.0,0.0,diversidade,0.0,p3,arbusto,all: (dez-mar),all: (fev-abr),aromatico|cosmetico|forrageiro|madeireiro|medicinal|melifero,1.0,abelhas,autocoria
239,Croton floribundus,Capixingui,Oxydectes floribunda,Croton,Euphorbiaceae,mata atlantica,campestre|florestal,campos rupestres|floresta estacional semidecidual|floresta ombrofila densa,al|ba|ce|es|mg|ms|mt|pb|pi|pr|rj|rn|sp|to,mata atlantica: (jan-fev),Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida levá-los ao sol para completarem a abertura e liberação das sementes.,3.0,ga,1.0,24.9,"Em câmara fria e seca (14°C e 50% UR), preferencialmente em embalagens de papel kraft.",2.0,,0.0,recobrimento,1.0,,arvore,mata atlantica: (out-dez),mata atlantica: (jan-jan),latex|medicinal|ornamental,1.0,abelhas|moscas,autocoria
240,Croton sonderianus,Marmeleiro-preto|Marmeleiro¹,Oxydectes sonderiana,Croton,Euphorbiaceae,caatinga,savanica,caatinga arbustiva|caatinga ciliar,al|ba|ce|pb|pe|pi|rn,all: (fev-abr),Os frutos devem ser coletados diretamente da,2.0,t3,0.0,,,2.0,2.0,0.0,diversidade,0.0,p3,arvore,all: (jan-mar),all: (fev-abr),aromatico|cosmetico|forrageiro|madeireiro|medicinal|melifero,1.0,abelhas,autocoria
241,Croton urucurana,Urucurana|Sangra D’água|Sangue De Drago,Croton paulinianus|Oxydectes pauliniana|Oxydectes urucurana,Croton,Euphorbiaceae,cerrado|mata atlantica,florestal,floresta ombrofila densa|mata ciliar|mata de galeria,ac|al|am|ba|df|es|ma|mg|ms|mt|pr|rj|rs|sc|sp|to,cerrado: (fev-jul); mata atlantica: (fev-jul),"Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida levá-los ao sol para completarem sua abertura e a liberação das sementes. Devido à deiscência explosiva, cobri-los com saco plástico para evitar a perda das sementes.",3.0,t3,2.0,120.0,Tempo indeterminado em câmara fria.,2.0,3.0,0.0,recobrimento,2.0,p3,arvore,cerrado: (dez-jun); mata atlantica: (dez-jun),cerrado: (jan-jul); mata atlantica: (fev-fev),artesanal|madeireiro|medicinal|melifero|ornamental,1.0,abelhas|moscas,autocoria
